batch_idx,batch_time_seconds,num_success,num_failed
322,8.09,50,0
323,8.53,50,0
324,8.50,50,0
325,8.83,50,0
326,9.32,50,0
327,9.54,50,0
328,8.28,50,0
329,8.88,50,0
330,7.41,50,0
331,8.32,50,0
332,7.27,50,0
333,7.26,50,0
334,8.69,50,0
335,7.21,50,0
336,10.14,50,0
337,9.56,50,0
338,9.22,50,0
339,10.10,50,0
340,10.10,50,0
341,10.23,50,0
342,11.57,50,0
343,9.22,50,0
344,9.45,50,0
345,10.05,50,0
346,10.00,50,0
347,10.15,50,0
348,9.91,50,0
349,10.24,50,0
350,9.60,50,0
351,4.90,45,5
352,6.26,35,0
